Company Name,Profile Heading,About Company,Email,Contact,Toll free number,Main Address, Address Pin code,Adress URL,Company registration Number
Jadavpur Vidyapith,Jadavpur Vidyapith,,,3324146746,,"R.S.C. Mallick Road, Near United Bank, Poddar Nagar, Jadavpur, Kolkata, West Bengal 700032 ",700032,,
South City International School,South City International School,,,8336815657,," 368, Prince Anwar Shah Rd, Kolkata, West Bengal 700068 ",700068,,
Kambrabad Uchha Vidyalaya,Kambrabad Uchha Vidyalaya,,,3324349461,,"Narendrapur Station Road, Near Jawaharlal Nehru National Yuva Kendra, Narendrapur, Kolkata, West Bengal 700150",700150,,
Saraswati Sadan high School,Saraswati Sadan High School,,,3323451056,,"No 12/1A/53, Chowbaga Road, Kolkata, West Bengal 700039 ",700039,,
Jyotirmoy Schools,Jyotirmoy Schools,,,3218260067,,"Jyotirmoy Knowledge Park Kalikapur, Sonarpur(South), West Bengal ",,,
Green Valley Public School,Green Valley Public School,,,9831135363,,"Samsul Huda Road, Park Circus, Ballygunge, Kolkata, West Bengal 700019 ",700019,,
Kolia Amir Ali High School,Kolia Amir Ali High School,,,9433134505,," Viull- Kolia. PO- Nabagram-Sikipur, Howrah, West Bengal 711315 ",711315,,
Jingle Bell School,Jingle Bell School,,,9874957149,," Bc 112, Milan Bazar, Samarpally, Near, Kestopur, Kolkata, West Bengal 700102 ",700102,,
Sattari High School,Sattari High School,,,9733192809,," NH 81, Sattari, English Bazaar, West Bengal 732208",732208,,
ACS International,Acs International,,,,,"Street No 10, Rajarhat, West Bengal 700156 ",700156,,
Basix Academy,Basix Academy,,,9123700979,,"103 Dipak Kumar LAL South 24 Parganas 0, Purba Panchanno Gram, South, Kolkata, West Bengal 700100 · ~7.8 km",700100,,
Sushila Birla Girls School,Sushila Birla Girls School,,,3322879006,," 7, Moira St, Elgin, Kolkata, West Bengal 700017 ",700017,,
Jibreel International School,Jibreel International School,,,3340088194,,"Shamsul Huda Road, Near Quest Mall, Park Circus, Ballygunge, Kolkata, West Bengal 700019",700019,,
National High School,National High School,,,3324755596,,"42/1, Hazra Road, Ballyg, Ballygunge, Kolkata, West Bengal 700019",700019,,
Loreto Day School,Loreto Day School,,,,," 6, Elliot Road, Park Street, Kolkata, West Bengal 700016 ",700016,,
La Martiniere For Boys,La Martiniere For Boys,,,3322902418,," 11, Loudon Street, Kolkata, West Bengal 700017 ",700017,,
South point High school,South Point High School,,,3324405115,," 82/7A Ballygunge Place, Kolkata, West Bengal 700019 ",700019,,
St James School,St James School,,,3322841546,,"165, AJC Bose Road, Near Indian Oil Petrol Pump And Diesel, Entally, Kolkata, West Bengal 700014 ",700014,,
Ballygunge Park Day School,Ballygunge Park Day School,,,3322896849,,"P-1, Suhrawardy Avenue, Park Circus, Kolkata, West Bengal 700017",700017,,
Loreto day school elliot road,Loreto Day School Elliot Road,,,3322298256,,"(Principal) 6, Elliot Road, Park Street, Kolkata, West Bengal 700016 ",700016,,
Loreto Day School Dharamtalla,Loreto Day School Dharamtalla,,,3322127560,,"122, Acharya Jagadish Chandra Bose Rd, Kolkata, West Bengal 700014 ",700014,,
Loreto Day School Kindergarten,Loreto Day School Kindergarten,,,3322120134,,"Bepin Behari Ganguly Street, Near Central Bank Of India-Bowbazar, Shibpur, Kolkata, West Bengal 711103 ",711103,,
our lady queen of the mission school,Our Lady Queen Of The Mission School,,,3322908196,,"34, Gariahat Road, Park Circus, Ballygunge, Kolkata, West Bengal 700019 
",700019,,
Khalsa school,Khalsa School,,,3324753765,,"73, Paddapukur Road, Lala Lajpat Rai Sarani, Kolkata, West Bengal 700020 ",700020,,
The BSS School,The Bss School,,,3324613669,,"12P, Mirza Ghalib Street, Near St. Thomas Church, Park Street, Kolkata, West Bengal 700017 ",700017,,
Birla High School,Birla High School,,,3322878145,,"Moxia Street, Near Lansdowne Doctors Chamber, Elgin, Kolkata, West Bengal 700017 ",700017,,
